,snr,svm_train,svm_valid,svm_ar_train,svm_ar_valid,cnn1d_train,cnn1d_valid,cnn2d_train,cnn2d_valid,ar_train,ar_valid
0,0.2,0.611886226,0.548034028,1,0.561485277,0.618399901,0.573728375,0.631775386,0.560069448,0.946681569,0.653055027
1,0.2,0.712087912,0.543418264,1,0.551916376,0.580246054,0.600975487,0.591588821,0.573879189,0.639860355,0.594517225
2,0.2,0.5,0.5,1,0.549825784,0.511302562,0.536303682,0.670766879,0.543824451,0.937114407,0.634326991
3,0.2,0.608020621,0.569295867,0.702796389,0.600018713,0.561204404,0.569181765,0.593210755,0.564063549,0.837724825,0.644387329
4,0.25,0.5,0.5,1,0.625424219,0.512223659,0.603898525,0.574720428,0.635788103,0.824000067,0.707951349
5,0.2,0.623343953,0.58795864,1,0.59876983,0.485506365,0.542731969,0.707028849,0.580442378,0.691649862,0.660559267
6,0.25,0.679509377,0.580444153,0.941450613,0.660542285,0.626694455,0.543009668,0.649852735,0.595984892,0.651191238,0.664840406
7,0.25,0.5,0.5,0.923816008,0.606302847,0.584946448,0.539177743,0.699628409,0.603449518,0.771580526,0.646101081
8,0.25,0.715256167,0.583389935,0.931647465,0.645771302,0.608888086,0.592384204,0.575799574,0.61291984,0.663467974,0.703654488
9,0.25,0.714512695,0.518683862,0.754035452,0.625239788,0.507957291,0.578621795,0.624682002,0.596193166,0.684457166,0.638008637
10,0.3,0.703472872,0.630932625,0.857192007,0.762454631,0.600311103,0.669538374,0.702572775,0.680475728,0.70027207,0.783170825
11,0.3,0.667033461,0.664237247,0.787369063,0.723330193,0.64303655,0.671842524,0.645781701,0.680127339,0.800223063,0.709412214
12,0.3,0.644383716,0.662186028,0.928851466,0.781985374,0.664249353,0.60847412,0.740574782,0.602220534,0.703846919,0.724890182
13,0.3,0.734866847,0.626195658,1,0.681506597,0.627380125,0.628169095,0.687338881,0.601524177,0.771771868,0.723899903
14,0.3,0.5,0.5,1,0.711812689,0.590015774,0.586696437,0.713919179,0.641099138,0.726201585,0.761520735
15,0.35,0.713172784,0.609634551,1,0.627443366,0.613656423,0.683527048,0.972280103,0.678571909,0.84742135,0.81120966
16,0.35,0.5,0.5,1,0.676914268,0.836851027,0.627958719,0.699587775,0.615605779,0.982063351,0.690959005
17,0.35,0.5,0.5,1,0.726330532,0.692164522,0.673652849,0.617081287,0.663464998,0.78708875,0.836312247
18,0.35,0.5,0.5,0.882784912,0.679893052,0.894128652,0.634680867,0.696402784,0.639563459,0.829157234,0.687858419
19,0.4,0.5,0.5,1,0.776653995,0.693422448,0.726866987,0.710400953,0.692636218,0.927239525,0.836834936
20,0.35,0.688426865,0.641063723,1,0.709393825,0.693192836,0.678003168,0.773403526,0.653240108,0.706224074,0.773816436
21,0.4,0.761858251,0.669905145,0.940798947,0.751066048,0.899930102,0.669464256,0.747476921,0.665362946,0.794669091,0.749603884
22,0.4,0.745419402,0.661706285,0.953691247,0.793299846,0.695542178,0.679619975,0.713084162,0.665890742,0.954779036,0.806271634
23,0.4,0.5,0.5,1,0.701352712,0.653958232,0.665069365,0.711791642,0.641448433,0.814901158,0.794937557
24,0.4,0.765646582,0.655586987,1,0.764210861,0.720636754,0.672036247,0.745301772,0.661241427,0.848200638,0.799368957
25,0.45,0.766520651,0.705203378,0.856251931,0.79613022,0.703742716,0.756662796,0.694692489,0.745855643,0.807977938,0.851760338
26,0.45,0.757581598,0.681306306,0.897876039,0.786067474,0.761357981,0.710578702,0.746233124,0.715857312,0.992286719,0.791358052
27,0.45,0.708511092,0.70351377,0.895983527,0.840765985,0.761180233,0.732111998,0.781634471,0.693184153,0.814681243,0.835509987
28,0.45,0.718671578,0.71219078,0.943508431,0.829235696,0.726216245,0.741625475,0.808230819,0.695494093,0.828729002,0.88709187
