,snr,svm_train,svm_valid,svm_ar_train,svm_ar_valid,cnn1d_train,cnn1d_valid,cnn2d_train,cnn2d_valid,ar_train,ar_valid
0,0.2,0.5,0.5,1,0.493029954,0.506429803,0.495652114,0.505415212,0.457877782,0.799081811,0.582579202
1,0.2,0.573905514,0.471662837,0.550204665,0.488738739,0.58682596,0.557345438,0.519638363,0.531901755,0.977136616,0.565314532
2,0.25,0.5,0.5,0.5,0.5,0.493738592,0.533330687,0.992192542,0.559043778,0.983191169,0.64294382
3,0.25,0.986844168,0.499874735,1,0.507031028,0.500877193,0.553428571,0.55846338,0.567369912,0.866404026,0.622279565
4,0.2,0.5,0.5,0.5,0.5,0.544978108,0.598899775,0.529420351,0.56389699,0.721251387,0.626059244
5,0.2,0.5,0.5,0.5,0.5,0.500678394,0.526487212,0.656422763,0.542880567,0.61668738,0.582399355
6,0.2,0.5,0.5,1,0.488802736,0.571529536,0.530057381,0.530415489,0.526086994,0.9265297,0.585996423
7,0.25,0.859989521,0.523666211,1,0.562605042,0.5,0.7,0.5,0.7,0.80267878,0.718544554
8,0.25,0.5,0.5,0.5,0.5,0.504006949,0.603736088,0.520143604,0.610740113,0.73006901,0.57315535
9,0.3,0.697794728,0.557507527,0.610482779,0.588717596,0.522709495,0.620256024,0.505120705,0.613119172,0.832441306,0.715509319
10,0.3,0.980335256,0.505434783,0.5,0.5,0.510626738,0.558469551,0.999427918,0.572796653,0.987507176,0.646454225
11,0.35,0.5,0.5,0.5,0.5,0.49460371,0.513135867,0.640382493,0.552801982,0.725851538,0.581047546
12,0.25,0.855207123,0.503580563,0.562785959,0.500936494,0.506575311,0.552694507,0.625624605,0.558596142,0.850948298,0.572734117
13,0.3,0.5,0.5,0.5,0.5,0.511645168,0.606374385,0.534450397,0.635247565,0.537566651,0.666547677
14,0.3,0.5,0.5,1,0.439415449,0.523542497,0.608582204,0.500955093,0.606649809,0.940320102,0.679481402
15,0.3,0.97775524,0.470966814,0.5,0.5,0.520101739,0.567187332,0.584421808,0.577368319,0.960124123,0.564609815
16,0.35,0.985377926,0.52245451,1,0.528536459,0.520323357,0.572560421,0.501429571,0.562854604,0.590707623,0.630629344
17,0.35,0.566268273,0.486124402,1,0.533000288,0.507635767,0.60362578,0.681980992,0.614501924,0.650500305,0.610093088
18,0.4,0.5,0.5,0.5,0.5,0.49943828,0.506692087,0.558032333,0.548870588,0.784713398,0.582799574
19,0.35,0.651840605,0.525641026,1,0.522649172,0.513663975,0.493941309,0.569710903,0.550684366,0.963930986,0.649669336
20,0.4,0.983999859,0.494471514,1,0.533811475,0.50701347,0.55597407,0.978948331,0.57142958,0.950051007,0.62483192
21,0.35,0.5,0.5,0.5,0.5,0.539332678,0.572978691,0.511044473,0.565524643,0.937464674,0.590500296
22,0.4,0.979473039,0.475023742,1,0.495036197,0.5,0.55,0.565311625,0.60600649,0.5,0.6
23,0.4,0.5,0.5,1,0.50032457,0.500312045,0.605166667,0.501246013,0.601923077,0.667775063,0.573156161
