,snr,svm_train,svm_valid,svm_ar_train,svm_ar_valid,cnn1d_train,cnn1d_valid,cnn2d_train,cnn2d_valid,ar_train,ar_valid
0,0.65,0.721905447,0.685742442,0.966456497,0.807286956,0.860398339,0.798325763,0.848209953,0.755630091,0.917763255,0.879020328
1,0.25,0.62841133,0.546724225,1,0.560582312,0.514333746,0.55788989,0.699542024,0.595919691,0.96193796,0.737810587
2,0.5,0.684532747,0.684982987,0.951466267,0.801067734,0.837683919,0.778512764,0.810321141,0.742976945,0.984770889,0.898707861
3,0.45,0.666834879,0.63519902,0.886446293,0.779875887,0.704500544,0.810360322,0.763546361,0.771527721,0.96519165,0.901469883
4,0.6,0.718552329,0.718153928,0.955046793,0.829832996,0.786925854,0.797271596,0.806658001,0.747516514,0.965271766,0.923145588
5,0.4,0.666218876,0.591160974,1,0.681336546,0.82887585,0.679683528,0.764410481,0.657335688,0.940286511,0.800144727
6,0.35,0.65328483,0.607921852,0.934100418,0.700239477,0.740175956,0.666329277,0.748131123,0.709770143,0.915327852,0.836761203
7,0.6,0.703791347,0.634289946,1,0.723599241,0.828259897,0.802713148,0.983904562,0.780922659,0.931250917,0.92016132
8,0.65,0.721271029,0.713224706,1,0.800542425,0.817662251,0.850928502,0.849114317,0.819043721,0.945981736,0.952206577
9,0.25,0.979611984,0.53891836,1,0.553965517,0.68959195,0.541729095,0.99789317,0.591897813,0.642608397,0.657272537
10,0.25,0.608147223,0.508276334,1,0.519744433,0.647847034,0.666209911,0.60298495,0.689324686,0.954690824,0.768378223
11,0.3,0.5,0.5,1,0.674284579,0.7311143,0.671533169,0.854069524,0.679838666,0.852541006,0.84964734
12,0.55,0.699966464,0.644842204,0.959994191,0.794325316,0.819567462,0.819638459,0.793148479,0.785951311,0.973251064,0.896281229
13,0.25,0.5,0.5,1,0.548400129,0.55114515,0.572947814,0.603566042,0.559803407,0.752734079,0.625328403
14,0.6,0.709188856,0.664127623,0.958391473,0.794439515,0.90889352,0.791714261,0.816121153,0.746487415,0.940042696,0.901213516
15,0.4,0.656622982,0.604788361,0.814941491,0.748403071,0.794732466,0.72568507,0.825349648,0.655834575,0.897183832,0.88906411
16,0.55,0.697632074,0.668700265,0.964084143,0.805415421,0.88748676,0.826819877,0.809358816,0.794304538,0.974333589,0.933381406
17,0.2,0.5,0.5,1,0.563022653,0.502304904,0.554535171,0.578200278,0.609318988,0.794503216,0.711299946
18,0.65,0.718942327,0.703192807,0.971223053,0.871340328,0.851568323,0.812445351,0.819673154,0.775983943,0.921401669,0.915394446
19,0.3,0.5,0.5,0.5,0.5,0.5,0.55,0.592588132,0.591278592,0.62704099,0.676719905
20,0.5,0.686857207,0.684804399,0.910148482,0.832269311,0.810945381,0.78767794,0.779928129,0.756938232,0.967812337,0.923204011
21,0.6,0.708104396,0.663244913,0.959850842,0.801389409,0.84657265,0.781596674,0.851711599,0.767712848,0.93840109,0.889051018
22,0.25,0.5,0.5,1,0.563297872,0.69282653,0.682214033,0.668207084,0.675354998,0.616411971,0.696394677
23,0.55,0.5,0.5,1,0.674330604,0.810929921,0.773117817,0.771715229,0.710380745,0.948512979,0.88614484
24,0.2,0.5,0.5,0.5,0.5,0.501816732,0.570707474,1,0.567905282,0.604998122,0.662989513
25,0.2,0.5,0.5,1,0.546446609,0.502220893,0.554166667,0.570572952,0.563124456,0.973772437,0.621264847
26,0.3,0.5,0.5,0.927610771,0.619350282,0.545426839,0.513966573,0.784464216,0.646237232,0.959441384,0.782615564
27,0.4,0.644858466,0.588823457,1,0.609243697,0.788416348,0.731111322,0.772720654,0.690174813,0.945520865,0.880108432
28,0.45,0.674895447,0.655648175,1,0.725022183,0.807367286,0.705374039,0.750236603,0.711432109,0.927849554,0.819467192
29,0.45,0.5,0.5,1,0.713828502,0.841899812,0.735587385,0.786653627,0.680716109,0.891566478,0.831538824
30,0.55,0.693886578,0.662927497,1,0.737815126,0.826723355,0.808634353,0.819305097,0.704700753,0.928457979,0.912277558
31,0.5,0.693494988,0.626138585,0.902727617,0.748129045,0.878479074,0.772521389,0.816376089,0.739906276,0.927610162,0.886757459
32,0.6,0.745561699,0.702689748,0.952518295,0.817893985,0.815999722,0.819346293,0.904560302,0.781184558,0.990831422,0.919053678
33,0.2,0.5,0.5,0.5,0.5,0.506085341,0.569012694,0.657611985,0.596243956,0.556020525,0.616050831
34,0.35,0.647791831,0.57056459,0.938631836,0.671516505,0.5,0.6,0.670511486,0.694040805,0.940806791,0.804576112
35,0.35,0.5,0.5,1,0.722889556,0.701851646,0.671523208,0.738798504,0.702154455,0.918500648,0.856455845
36,0.2,0.593109819,0.562902992,1,0.586283754,0.72509554,0.640586538,0.616805129,0.611850962,0.668679623,0.708788233
37,0.5,0.677272742,0.658443964,0.954083644,0.760197602,0.829610988,0.773232858,0.803425422,0.729385018,0.92015649,0.875536436
38,0.45,0.662365591,0.638238158,0.874112689,0.72176805,0.774477416,0.727618966,0.756737996,0.735389921,0.890660174,0.84639532
39,0.35,0.658163727,0.595574163,0.771326044,0.661088649,0.624409844,0.627798785,0.87464123,0.678659232,0.937682491,0.849522394
40,0.35,0.5,0.5,1,0.58948157,0.720606385,0.647714398,0.746043305,0.588229267,0.968882952,0.850447505
41,0.3,0.717294048,0.552059052,1,0.555206632,0.652347885,0.686207794,0.704880156,0.704937933,0.974943289,0.809563839
42,0.55,0.710769646,0.685315215,0.96578193,0.814954483,0.860229471,0.810630514,0.876455861,0.75357262,0.933252471,0.904213729
43,0.4,0.658189973,0.653702886,0.944752967,0.814614526,0.739590957,0.753966988,0.735154294,0.7195643,0.808662466,0.836571563
44,0.45,0.654501102,0.628779116,0.946559417,0.696334303,0.746892494,0.769465782,0.716146302,0.755653325,0.994083003,0.845064428
45,0.4,0.659375948,0.647120874,0.945218317,0.712195122,0.792179765,0.773634733,0.739377802,0.733437101,0.907202872,0.889410377
46,0.3,0.5,0.5,1,0.560239791,0.642884194,0.660316641,0.737391647,0.637899806,0.944228234,0.814572318
47,0.5,0.711884044,0.68354354,0.969129083,0.776140192,0.914527091,0.825541854,0.863634882,0.80573405,0.979155276,0.928966067
48,0.7,0.770618557,0.664712919,1,0.739867568,0.825055981,0.793103508,0.855875045,0.738444245,0.936110722,0.903994973
49,0.7,0.736767885,0.715773959,0.969307116,0.848266917,0.858729849,0.785227928,0.872493983,0.759110341,0.996901345,0.873555592
50,0.8,0.756436725,0.727172295,0.966660633,0.80578446,0.911579468,0.857684217,0.899334549,0.827050717,0.961477409,0.907206264
51,0.85,0.76701514,0.73095411,0.966036392,0.819628409,0.869877442,0.836497636,0.977382382,0.805981911,0.979066547,0.927927767
52,0.75,0.754979083,0.704712632,0.964577192,0.814673913,0.928634633,0.82670583,0.891586687,0.7616065,0.988494851,0.911358306
53,0.8,0.739688554,0.722447073,0.961109604,0.833099297,0.910331577,0.801528658,0.895884027,0.791401842,0.946039362,0.927077422
54,0.7,0.768208104,0.696638058,1,0.726114235,0.811506293,0.842150677,0.772597609,0.755083135,0.9598465,0.959487422
55,0.85,0.794430578,0.703571429,0.969299288,0.809926356,0.963578152,0.845204075,0.849094923,0.792398655,0.972744705,0.913170267
56,0.8,0.748394672,0.667479337,0.965515996,0.800952313,0.946972218,0.824674729,0.850451253,0.777991614,0.948470029,0.925910747
57,0.95,0.735173881,0.741619648,0.96842354,0.860338075,0.883973003,0.879293743,0.822499624,0.831303585,0.954497387,0.957935046
58,1.05,0.789643926,0.730412878,1,0.781397029,0.894318369,0.873785707,0.887156299,0.840455698,0.995399256,0.933378282
59,1,0.7596875,0.747788654,0.965748188,0.840194143,0.878531253,0.876265107,0.878807862,0.844934107,0.966029647,0.936411715
60,0.7,0.742160334,0.650310196,0.925558482,0.770916381,0.841187872,0.846454154,0.822853172,0.825500018,0.965859506,0.906755086
61,1.1,0.761259447,0.73257768,0.970207956,0.829129887,0.881102263,0.89301964,0.945681507,0.841212337,0.943071338,0.949699761
62,0.85,0.791238386,0.722416651,0.977884041,0.902764617,0.863885772,0.828063552,0.838408387,0.798182988,0.939796869,0.937029628
63,0.95,0.76981733,0.700931219,0.973063584,0.85578284,0.947240981,0.875736414,0.85033499,0.838228319,0.97322287,0.946650266
64,0.65,0.723436331,0.667806268,0.956566671,0.829666538,0.857573616,0.817231958,0.881505606,0.774271809,0.967848269,0.935681566
65,0.85,0.748907997,0.755331668,1,0.850814402,0.930507901,0.837551475,0.884952657,0.809954299,0.938249344,0.91425163
66,0.9,0.756248196,0.720788315,0.962929204,0.798469388,0.922509771,0.827638564,0.905400445,0.795534228,0.951931894,0.909776624
67,0.75,0.731209249,0.659264964,0.981174014,0.730325847,0.909909025,0.817510317,0.772898171,0.77090975,0.964577207,0.885773354
68,0.95,0.777037549,0.778458384,0.97135429,0.879199823,0.858487561,0.874867186,0.918481376,0.835727697,0.954746227,0.948045663
69,1.1,0.787994082,0.733565542,0.973118729,0.907395288,0.963485208,0.863207427,0.859728596,0.847347458,0.982210663,0.939330552
70,0.75,0.741677956,0.741112691,0.923767468,0.865532948,0.872709192,0.85437777,0.913413707,0.834221683,0.946450531,0.948642755
71,1,0.796595059,0.767276217,0.973767251,0.825280981,0.952634458,0.867006519,0.893846417,0.820802232,0.967007824,0.949290601
72,0.65,0.709240958,0.703988604,0.962489067,0.801168452,0.948792785,0.835083421,0.855730294,0.764594203,0.99625333,0.922202235
73,1.1,0.796514658,0.77698485,0.966717229,0.854891859,0.907817309,0.854462273,0.839763998,0.772534336,0.970646582,0.91588281
74,1,0.809580548,0.720371734,0.96302556,0.796837966,0.88152695,0.882690677,0.975215664,0.836030957,0.970630599,0.9354976
75,0.75,0.734248114,0.703322423,0.9260216,0.850543478,0.834806066,0.83958012,0.82173518,0.786837664,0.925997326,0.907419742
76,1.1,0.768521142,0.755038128,0.965095287,0.870001047,0.98587907,0.873911619,0.897830493,0.841807409,0.997159953,0.95793046
77,0.8,0.752244974,0.693052329,0.974812258,0.829692557,0.885968275,0.833754125,0.888400007,0.770750265,0.982902693,0.928252028
78,1,0.760416813,0.728670267,1,0.719686691,0.888307558,0.893354167,0.827161385,0.84469391,0.983587531,0.933524185
79,0.75,0.780641841,0.699155511,0.974012961,0.794106493,0.839684508,0.827695577,0.834355884,0.762507491,0.954326615,0.953092821
80,0.85,0.731626068,0.712962963,0.963117293,0.872795284,0.9291508,0.84520059,0.909654693,0.806992204,0.976627347,0.929660586
81,1.05,0.775434431,0.71480611,0.974585039,0.828864734,0.970434811,0.838165311,0.908111836,0.798261457,0.978437045,0.912875615
82,0.7,0.76335212,0.681947291,0.950385238,0.802065256,0.842567723,0.813541676,0.875937467,0.762250171,0.939587739,0.884337426
83,0.9,0.762873244,0.675068327,0.962696107,0.802251668,0.86427207,0.835401272,0.838431054,0.76461172,0.968718032,0.919577439
84,0.9,0.781660759,0.742454728,0.962232619,0.804167061,0.93891919,0.836493847,0.88745903,0.798015623,0.95892106,0.912191421
85,0.9,0.784534275,0.733698655,0.970122997,0.833926305,0.874293306,0.823080094,0.894186003,0.772497991,0.977815573,0.938060875
86,1,0.757819228,0.738837416,0.97529484,0.844255663,0.937888359,0.88314011,0.845085995,0.847468254,0.942332378,0.931999146
87,0.95,0.793336443,0.740789474,0.973002891,0.877727619,0.867280866,0.84461494,0.851636943,0.814274081,0.965156138,0.92652716
88,0.9,0.781322381,0.750119617,0.968784865,0.877641278,0.947156586,0.859594301,0.877486033,0.806659411,0.971919106,0.930711484
