,snr,svm_train,svm_valid,svm_ar_train,svm_ar_valid,cnn1d_train,cnn1d_valid,cnn2d_train,cnn2d_valid,ar_train,ar_valid
0,0.55,0.763960103,0.60272154,1,0.671964279,0.90454036,0.852553096,0.940521149,0.816037826,0.985622776,0.947816991
1,0.3,0.5,0.5,0.5,0.5,0.501036198,0.555997151,0.679194008,0.648492239,0.64585406,0.597248193
2,0.4,1,0.519533571,1,0.506708163,0.535295771,0.535407955,0.86472587,0.695307688,0.913330671,0.621601957
3,0.25,0.5,0.5,0.5,0.5,0.536771471,0.574977488,0.883686791,0.616872969,0.895545513,0.639082338
4,0.45,0.749656517,0.563799894,1,0.541060773,0.49913331,0.554285831,0.856016241,0.747557145,0.868342008,0.692888702
5,0.45,0.804006177,0.558856068,0.86135527,0.593138013,0.640584919,0.639106588,0.863822082,0.716994245,0.997859496,0.859796198
6,0.5,0.5,0.5,1,0.593130562,0.609303621,0.579451648,0.962686868,0.738605655,0.995957179,0.896209662
7,0.6,0.989195684,0.563718141,1,0.677582141,0.531106372,0.561213951,0.993630384,0.825423942,0.972720563,0.944264573
8,0.4,0.5,0.5,1,0.501976748,0.520610603,0.536955494,0.857308646,0.621299943,0.965010237,0.629973398
9,0.4,1,0.577876984,1,0.62215334,0.5,0.65,0.758256024,0.74973148,0.998460471,0.818253205
10,0.35,0.5,0.5,0.519594595,0.502653274,0.510974905,0.594239187,0.835615814,0.674293029,0.73255159,0.58852611
11,0.35,0.5,0.5,0.5,0.5,0.548284499,0.572438985,0.817159983,0.62236646,0.997223124,0.813378604
12,0.5,0.653642834,0.569193964,0.884291913,0.656391403,0.496629202,0.655578054,0.861324171,0.780185198,0.999118891,0.915335206
13,0.3,1,0.495251662,0.5,0.5,0.560074166,0.518916842,0.768075706,0.592430843,0.83763,0.652875657
14,0.3,0.985128618,0.523076734,1,0.512819522,0.510147583,0.603815368,0.671988178,0.671120705,0.848008417,0.622173435
15,0.45,0.5,0.5,1,0.545312055,0.520190803,0.49464952,1,0.694352847,0.97663324,0.852244898
16,0.25,0.5,0.5,1,0.524551282,0.519074713,0.571720912,0.779594484,0.589786051,0.948280827,0.605627747
17,0.6,0.5,0.5,1,0.665502656,0.5055875,0.507299721,0.928294539,0.777675172,0.994775079,0.899688092
18,0.5,0.5,0.5,1,0.709827084,0.500016088,0.655480072,0.921507209,0.811246636,0.996459016,0.947642847
19,0.2,0.5,0.5,0.5,0.5,0.5,0.7,0.622516694,0.717078237,0.5,0.7
20,0.55,0.5,0.5,1,0.584593023,0.511311593,0.568879984,0.976567858,0.78928417,0.99848011,0.915866841
21,0.2,0.5,0.5,1,0.533082707,0.512088188,0.556801282,0.540172675,0.556279053,0.876141409,0.637416499
22,0.2,1,0.51626462,1,0.511039487,0.494202047,0.560047006,1,0.629368118,0.633760438,0.707563199
23,0.2,0.5,0.5,0.5,0.5,0.518584004,0.518963316,0.998425916,0.559321878,0.790855575,0.63975179
