,snr,svm_train,svm_valid,svm_ar_train,svm_ar_valid,cnn1d_train,cnn1d_valid,cnn2d_train,cnn2d_valid,ar_train,ar_valid
0,0.6,0.988884562,0.508045526,0.5,0.5,0.5,0.6,0.536998567,0.615712587,0.950693613,0.649089602
1,0.2,0.5,0.5,0.5,0.5,0.510186455,0.537072234,0.647554823,0.515022122,0.837744717,0.611041548
2,0.3,0.649057745,0.507452364,1,0.529447831,0.516383053,0.495865229,0.722892747,0.597969826,0.594483283,0.599063548
3,0.35,0.5,0.5,1,0.482601531,0.517419611,0.453927846,0.704154066,0.505132802,0.862537492,0.607837662
4,0.45,0.986056485,0.490549287,1,0.547102086,0.5,0.55,0.745253276,0.568944096,0.838586603,0.653091786
5,0.25,0.5,0.5,1,0.483298933,0.530611904,0.563491539,0.602457504,0.583064188,0.876204054,0.564088864
6,0.5,0.689182727,0.483652531,0.5,0.5,0.506021519,0.604554656,0.506398675,0.604366987,0.5,0.6
7,0.5,0.5,0.5,0.50472973,0.498652291,0.490570571,0.561169847,0.670263408,0.557202994,0.938440397,0.580666377
8,0.55,0.981095039,0.512820513,0.5,0.5,0.49517088,0.622481329,0.570875718,0.621219475,0.539680919,0.63109869
9,0.3,0.5,0.5,0.5,0.5,0.510220283,0.567290921,0.558339566,0.563472755,0.899234737,0.58234912
10,0.25,0.959479984,0.494192942,0.5,0.5,0.501558328,0.652328357,0.507769176,0.653846154,0.591084422,0.665829465
11,0.55,0.978996784,0.511143827,1,0.521493671,0.5,0.65,0.513394769,0.655396739,0.844171878,0.617712407
12,0.4,0.5,0.5,0.5,0.5,0.533185873,0.564892611,0.542065369,0.571793905,0.788976222,0.628124311
13,0.4,0.5,0.5,1,0.494444444,0.5827505,0.530806386,1,0.543454303,0.873247209,0.589270985
14,0.65,0.987208791,0.51235098,1,0.472158914,0.607612497,0.67875352,0.567285176,0.663387231,0.5,0.6
15,0.65,0.5,0.5,0.5,0.5,0.484846632,0.569776906,0.736344736,0.520696935,0.981047826,0.634029914
16,0.35,0.5,0.5,0.916816758,0.516393599,0.519352942,0.592516026,0.538230524,0.619799679,0.964999348,0.556852866
17,0.45,0.981006648,0.521333348,1,0.483809888,0.524981963,0.555674953,0.55646755,0.555907863,0.886135287,0.62581983
18,0.5,0.655598718,0.521818611,1,0.562099828,0.503335116,0.60244391,0.499101348,0.611217516,0.757727485,0.622514079
19,0.2,0.954030725,0.496146712,0.507658643,0.5,0.59114967,0.56959956,0.630740988,0.569193059,0.5,0.55
20,0.3,0.986368948,0.509258167,0.5,0.5,0.509399013,0.604936443,0.496102367,0.617719893,0.947844064,0.635109504
21,0.35,0.5,0.5,1,0.518732221,0.537642272,0.562872702,0.612627682,0.544768449,0.935140664,0.681972461
22,0.6,0.95662466,0.513107215,0.5,0.5,0.583192003,0.589451084,0.721949906,0.574345085,0.616052247,0.553671922
23,0.4,0.5,0.5,0.61688396,0.512379046,0.522668551,0.585634625,0.977373169,0.563177471,0.5,0.55
24,0.35,0.5,0.5,1,0.541523342,0.509897599,0.559767251,0.538232188,0.556483898,0.544166884,0.621362406
25,0.3,0.5,0.5,0.5,0.5,0.506161208,0.55665919,0.60661795,0.583292379,0.830704281,0.638315799
26,0.4,0.5,0.5,0.572997684,0.526846153,0.525930889,0.693287576,0.49986801,0.650980392,0.5,0.65
27,0.5,0.963195611,0.506187043,1,0.528158632,0.504479369,0.706419414,0.51042674,0.707564484,0.739244428,0.712870752
28,0.55,0.5,0.5,1,0.520926756,0.517271881,0.557309762,0.528274553,0.565404003,0.789751568,0.653783209
29,0.2,0.5,0.5,1,0.503501582,0.50337817,0.562328285,0.598046387,0.569887704,0.875166295,0.600026709
30,0.6,0.5,0.5,1,0.501588801,0.520311727,0.557102564,0.672441549,0.573324304,0.786503067,0.705878133
31,0.25,0.952118313,0.476203107,1,0.489067764,0.514537285,0.557107229,0.568024744,0.574888312,0.709408031,0.620827916
32,0.45,0.5,0.5,0.5,0.5,0.523844814,0.562994285,0.528500695,0.574083052,0.963603317,0.620103652
33,0.25,0.981243755,0.463831274,0.5,0.5,0.506003908,0.550409328,0.579676174,0.569216812,0.89929123,0.632333136
34,0.45,0.979633491,0.533069259,1,0.523251192,0.556930765,0.565372737,0.553549344,0.559451099,0.995675854,0.634138992
35,0.55,0.985413201,0.489295805,0.5,0.5,0.53696917,0.622038676,0.519259441,0.615072676,0.699462117,0.656520779
36,0.6,0.583347763,0.497863896,1,0.53687744,0.534200448,0.590079632,0.705689849,0.569139097,0.93255967,0.61036918
37,0.3,0.980416272,0.517851728,0.506711409,0.5,0.504550777,0.502173919,0.799438863,0.529403296,0.746874324,0.537003593
38,0.2,0.982939691,0.48988647,1,0.486653117,0.506623057,0.561996977,0.501770967,0.558799391,0.900201058,0.596442234
39,0.45,0.978709002,0.50327817,1,0.505641282,0.522178082,0.510200075,0.570347838,0.530256037,0.990143917,0.593821472
40,0.65,0.5,0.5,0.5,0.5,0.610379795,0.645740536,0.79476069,0.61853101,0.898660842,0.688179798
41,0.4,0.5,0.5,1,0.549611413,0.511887316,0.600859783,0.565904049,0.57131041,0.5,0.6
42,0.5,0.979693487,0.493471298,0.5,0.5,0.565070217,0.482914868,0.586475861,0.57885234,0.954300265,0.613587169
43,0.35,0.957517817,0.487679426,0.5,0.5,0.507299883,0.556205603,0.825547348,0.567014562,0.982054634,0.58683457
44,0.2,0.5,0.5,0.5,0.5,0.635259623,0.516246771,1,0.526666797,0.580044972,0.471713097
45,0.6,0.566380388,0.512244079,0.5,0.5,0.663471331,0.551930764,0.730705865,0.553858961,0.974134657,0.583663227
46,0.25,0.5,0.5,0.5,0.5,0.504999672,0.603122136,0.507780912,0.603649831,0.5,0.6
47,0.55,0.580578106,0.504583313,0.574836373,0.487497472,0.502662987,0.556756757,0.77797905,0.567986281,0.632374921,0.576575547
