,snr,svm_train,svm_valid,svm_ar_train,svm_ar_valid,cnn1d_train,cnn1d_valid,cnn2d_train,cnn2d_valid,ar_train,ar_valid
0,0.25,0.862829887,0.501330313,1,0.512969925,0.550268878,0.580153768,0.615277553,0.576371643,0.709506891,0.570780441
1,0.2,0.972741181,0.51406734,1,0.513201342,0.545515231,0.527149551,0.815206207,0.562721733,0.614475435,0.589598994
2,0.25,0.5,0.5,1,0.511155002,0.498537442,0.519639168,0.663080762,0.563362155,0.880899358,0.611345261
3,0.25,0.977800391,0.526677338,1,0.53313568,0.499394319,0.550980392,0.542937744,0.563716877,0.73876831,0.5742791
4,0.2,0.5,0.5,0.5,0.5,0.522028967,0.613486518,0.586145712,0.563657861,0.86205307,0.589544489
5,0.2,0.597971271,0.537668666,1,0.529389809,0.501844974,0.56791363,0.999561404,0.576911857,0.891658797,0.61872785
6,0.2,0.980387418,0.515870195,0.5,0.5,0.500242115,0.651666667,0.500811119,0.649,0.940344669,0.644105118
7,0.25,0.96179694,0.511606131,1,0.510012136,0.500385347,0.559166667,0.914335362,0.57652876,0.74596422,0.618893006
8,0.3,0.5,0.5,0.818104343,0.573877427,0.505296956,0.605494072,0.526381698,0.601628814,0.861831041,0.692831726
9,0.3,0.975970493,0.50039769,0.5,0.5,0.5,0.5,0.693719008,0.546366871,0.72195014,0.605705753
10,0.35,0.5,0.5,0.724347834,0.656439624,0.508041772,0.558242461,0.805681661,0.58896222,0.823939397,0.718483163
11,0.35,0.5,0.5,1,0.646958288,0.61679422,0.603952331,0.663834754,0.593849252,0.626802289,0.743231857
12,0.3,0.5,0.5,0.5,0.5,0.518809177,0.531560066,0.63934771,0.571263674,0.948757447,0.625671803
13,0.35,0.5,0.5,1,0.62855437,0.509009595,0.549660694,0.706868317,0.59903369,0.707425949,0.673676661
14,0.35,0.5,0.5,1,0.539942984,0.679442465,0.568612886,0.999269006,0.548833748,0.980966918,0.615952769
15,0.35,0.5,0.5,0.739004584,0.612631536,0.80906615,0.612680974,0.841293377,0.584151146,0.961422324,0.651315127
16,0.4,0.5,0.5,1,0.567249917,0.67401343,0.626669418,0.779628984,0.580760035,0.983949887,0.632035286
17,0.4,0.5,0.5,1,0.6840445,0.659640548,0.661753478,0.713578619,0.620770304,0.77474901,0.792246965
18,0.4,0.5,0.5,0.5,0.5,0.52495134,0.560644121,0.799139649,0.598558891,0.687159222,0.668828212
19,0.45,0.636692048,0.595832136,0.780426798,0.629237288,0.637281848,0.593934177,0.739686711,0.634529469,0.849798815,0.730434103
20,0.45,0.5,0.5,0.933263555,0.651472834,0.67455392,0.669564426,0.69108085,0.630225498,0.902774499,0.71611993
21,0.4,0.722893954,0.58585943,0.5,0.5,0.50546958,0.607736449,0.652676849,0.639361655,0.937411661,0.702660576
22,0.4,0.5,0.5,1,0.538180658,0.525988093,0.47263422,0.767025882,0.570753321,0.886772693,0.652905355
23,0.45,0.5,0.5,0.944856619,0.784591657,0.617737455,0.606103725,0.798634202,0.624812619,0.816213505,0.73684072
24,0.45,0.666073708,0.655692067,0.934210362,0.766523503,0.629639001,0.679188159,0.844549167,0.665334135,0.736018989,0.79867311
25,0.45,0.5,0.5,0.937299629,0.719846663,0.615145868,0.703180038,0.843757459,0.682622442,0.736450433,0.810657662
26,0.5,0.738980957,0.630200228,1,0.625961812,0.664953031,0.667290872,0.822434085,0.589714909,0.886200275,0.721273262
27,0.5,0.720509099,0.630294397,1,0.588566073,0.831399989,0.674947103,0.759606965,0.587676594,0.716747485,0.699652844
28,0.5,0.746628924,0.609264498,0.94309869,0.699057902,0.498439512,0.577750037,0.751585514,0.616126824,0.850303911,0.730480682
29,0.55,0.5,0.5,1,0.692381268,0.500885167,0.606207827,0.725947617,0.676878533,0.712084379,0.802842388
30,0.5,0.716564194,0.637524451,1,0.728135084,0.613620481,0.779120475,0.609711607,0.739872908,0.747420301,0.849871769
31,0.5,0.66234622,0.65443635,0.78899915,0.696336625,0.699535195,0.698242465,0.742928641,0.691733711,0.875792789,0.67398855
32,0.55,0.727136884,0.6671415,0.943183595,0.724180461,0.749976328,0.698071784,0.713714546,0.663922079,0.988281747,0.774357301
33,0.55,0.68904006,0.641617893,0.948892511,0.759370315,0.66014344,0.742215866,0.699058593,0.693738278,0.791638996,0.781785741
34,0.55,0.5,0.5,0.945320327,0.801358883,0.491244254,0.520004224,0.735517026,0.666146227,0.824749497,0.829183405
35,0.6,0.5,0.5,1,0.765772491,0.732969503,0.742995347,0.757014302,0.709780348,0.975754083,0.836631984
36,0.55,0.762883981,0.669920343,1,0.758715908,0.505930958,0.651351351,0.566274663,0.694398979,0.805182255,0.809312646
37,0.6,0.74525076,0.687188901,0.954682893,0.765550917,0.724375849,0.70772356,0.783107791,0.708676472,0.96260572,0.799584434
38,0.6,0.5,0.5,1,0.720373856,0.736122148,0.739625067,0.796174733,0.691182759,0.785294471,0.791055389
39,0.6,0.735431661,0.665988888,0.944063124,0.829400862,0.719347246,0.714642888,0.856325412,0.732254899,0.811845691,0.808649985
40,0.6,0.77071651,0.675412083,0.9505867,0.785127684,0.713212734,0.728894394,0.893853864,0.703291485,0.798735611,0.861998529
41,0.65,0.728908432,0.674593547,1,0.726355014,0.793415075,0.787376184,0.710395125,0.709773135,0.996715793,0.853713813
42,0.65,0.730666667,0.658255024,1,0.751871981,0.711001334,0.725832414,0.737708317,0.701289571,0.913711922,0.780583791
43,0.65,0.782875032,0.655257107,0.955467466,0.807655358,0.730411524,0.787967393,0.995044739,0.744248056,0.979298389,0.853120433
44,0.65,0.755561879,0.691984118,1,0.77080732,0.814771935,0.766623678,0.836390361,0.729989253,0.872315277,0.875072891
45,0.65,0.739841798,0.65954416,0.947161143,0.749626745,0.705317297,0.729231116,0.750652895,0.692940301,0.987009226,0.807038903
46,0.7,0.770016171,0.717307399,0.918245716,0.81757003,0.787266852,0.771683931,0.837030186,0.733528464,0.857523362,0.856898688
47,0.7,0.751814058,0.699723944,0.961298003,0.823988015,0.808403094,0.765842252,0.716249452,0.733897333,0.856971958,0.86202832
48,0.7,0.784730534,0.713825648,1,0.831187778,0.740117355,0.794248772,0.719272951,0.753259463,0.844709466,0.875055093
49,0.7,0.799203001,0.719586259,0.957182972,0.798847518,0.767640834,0.802769917,0.753154497,0.771690928,0.9276456,0.904133283
50,0.75,0.754712001,0.761437908,0.921661089,0.870756534,0.76655709,0.786953324,0.797438364,0.742108314,0.948887645,0.874733726
51,0.75,0.772027343,0.723913043,1,0.814180648,0.87830342,0.777382019,0.776544991,0.716152076,0.929308798,0.84117224
52,0.7,0.745047252,0.740625,0.960216708,0.837781927,0.748510943,0.782849097,0.805486119,0.714396049,0.867189153,0.882551901
53,0.75,0.5,0.5,1,0.788583962,0.725633237,0.757131837,0.776662978,0.692414458,0.865563823,0.857465221
