,snr,svm_train,svm_valid,svm_ar_train,svm_ar_valid,cnn1d_train,cnn1d_valid,cnn2d_train,cnn2d_valid,ar_train,ar_valid
0,0.2,0.5,0.5,0.5,0.5,0.559276267,0.647937625,0.50275111,0.602074715,0.980003022,0.635546829
1,0.2,0.5,0.5,1,0.487381491,0.507562177,0.554671404,0.53904975,0.561510219,0.856888894,0.598024857
2,0.25,0.5,0.5,0.5,0.5,0.517293365,0.620157197,0.525877258,0.604240026,0.5,0.6
3,0.2,1,0.478725585,1,0.511658058,0.5,0.7,0.5,0.704166667,0.911792833,0.760407764
4,0.2,0.5,0.5,1,0.495943953,0.507406442,0.663015241,0.496972218,0.65830418,0.500206052,0.6578125
5,0.2,1,0.473337573,1,0.54111794,0.49924946,0.501,0.999700957,0.550041096,0.958420425,0.596904887
6,0.25,0.5,0.5,0.5,0.5,0.543473309,0.536216018,0.760624216,0.583561629,0.505862842,0.558181818
7,0.25,1,0.513313971,0.5,0.5,0.501529614,0.608343735,0.50377557,0.605611271,0.639062924,0.617722632
8,0.25,0.5,0.5,1,0.513001662,0.50541904,0.60513354,0.508457451,0.60415261,0.594307222,0.560763274
9,0.25,1,0.49354226,0.5,0.5,0.530808111,0.622403349,0.499679076,0.6,0.947977633,0.685612064
10,0.3,0.5,0.5,1,0.516719012,0.52508358,0.55435258,0.524833508,0.56036343,0.972397619,0.596088553
11,0.3,0.5,0.5,0.5,0.5,0.973306809,0.867645935,0.559004156,0.56044378,0.927876628,0.557547888
12,0.3,1,0.539066197,0.5,0.5,0.547792687,0.588711778,0.569458119,0.580929035,0.541074503,0.550394732
13,0.3,1,0.489398085,0.500323206,0.5,0.502834169,0.604268053,0.506214101,0.603896259,0.86721363,0.632042125
14,0.35,0.5,0.5,1,0.497269095,0.990732022,1,0.998432384,0.54047104,0.993129344,1
15,0.3,0.5,0.5,0.505328099,0.501385042,0.499457349,0.452941176,0.61460304,0.47248376,0.771146187,0.557593785
16,0.35,0.5,0.5,0.5,0.5,0.978465502,1,0.66707561,0.574534067,0.999357769,1
17,0.35,0.5,0.5,1,0.560372458,0.980068777,1,0.955061091,0.566859826,0.840314995,0.528678902
18,0.35,0.5,0.5,1,0.536540862,0.495584438,0.553120066,0.969876124,0.523813341,0.998361209,1
19,0.35,1,0.489659224,0.5,0.5,0.514447118,0.548610236,0.570184911,0.567013616,0.997547121,0.999038462
20,0.4,0.5,0.5,0.586463553,0.483906634,0.995847891,1,0.736841296,0.620030299,0.775663929,0.614535693
